Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
10,Exit short,2025-10-15 16:00,Daily Close,24939.5,1,24944.25,95,0.02,1985,0.40,-295,-0.06,12490,12.49
10,Entry short,2025-10-15 14:41,short,24944.25,1,24944.25,95,0.02,1985,0.40,-295,-0.06,12490,12.49
11,Exit short,2025-10-16 12:19,short_exit,24917.5,1,25126,4170,0.83,4170,0.83,-105,-0.02,16660,16.66
11,Entry short,2025-10-16 11:11,short,25126,1,25126,4170,0.83,4170,0.83,-105,-0.02,16660,16.66
12,Exit short,2025-10-16 12:57,short_exit,24912.5,1,24912.5,0,0.00,3610,0.72,-605,-0.12,16660,16.66
12,Entry short,2025-10-16 12:19,short,24912.5,1,24912.5,0,0.00,3610,0.72,-605,-0.12,16660,16.66
13,Exit long,2025-10-16 13:41,long_exit,24860.25,1,24860.25,0,0.00,2135,0.43,-680,-0.14,16660,16.66
13,Entry long,2025-10-16 13:04,long,24860.25,1,24860.25,0,0.00,2135,0.43,-680,-0.14,16660,16.66
14,Exit short,2025-10-17 11:48,short_exit,24824,1,24824,0,0.00,2980,0.60,-655,-0.13,16660,16.66
14,Entry short,2025-10-17 11:04,short,24824,1,24824,0,0.00,2980,0.60,-655,-0.13,16660,16.66
15,Exit long,2025-10-17 13:09,long_exit,24868,1,24923.25,-1105,-0.22,1000,0.20,-1105,-0.22,15555,15.56
15,Entry long,2025-10-17 12:26,long,24923.25,1,24923.25,-1105,-0.22,1000,0.20,-1105,-0.22,15555,15.56
16,Exit long,2025-10-17 16:00,Daily Close,24984.25,1,24967.25,340,0.07,1770,0.35,-35,-0.01,15895,15.90
